Alga,locality,,Lat,Long
SpNov3,AK1,,57.2691666,-133.873333
A51,AK2,,57.950166,-134.93233
A48,BA10,,27.78697,-113.59818
A48,BA10,,27.78697,-113.59818
A48,BA10,,27.78697,-113.59818
A48,BA10,,27.78697,-113.59818
A48,BA10,,27.78697,-113.59818
A48,BA11,,27.64234,-113.43149
A51,BA11,,27.64234,-113.43149
CF A48,BA11,,27.64234,-113.43149
CF A48,BA11,,27.64234,-113.43149
CF A48,BA11,,27.64234,-113.43149
CF A48,BA11,,27.64234,-113.43149
A39,BA12,,27.50925,-114.32008
A39,BA12,,27.50925,-114.32008
A46,BA12,,27.50925,-114.32008
A46,BA12,,27.50925,-114.32008
A46,BA12,,27.50925,-114.32008
A39,BA13,,30.11945,-115.75034
A39,BA13,,30.11945,-115.75034
SpNov3,BA13,,30.11945,-115.75034
SpNov3,BA13,,30.11945,-115.75034
SpNov3,BA13,,30.11945,-115.75034
SpNov3,BA13,,30.11945,-115.75034
A39,BA14,,30.11161,-115.74921
A39,BA14,,30.11161,-115.74921
A39,BA14,,30.11161,-115.74921
SpNov3,BA14,,30.11161,-115.74921
SpNov3,BA14,,30.11161,-115.74921
SpNov3,BA14,,30.11161,-115.74921
A48,BA15,,30.03723,-115.5176
A48,BA15,,30.03723,-115.5176
A48,BA15,,30.03723,-115.5176
A48,BA15,,30.03723,-115.5176
SpNov1,BA15,,30.03723,-115.5176
A48,BA2,,30.,-115.
A48,BA2,,30.,-115.
A48,BA2,,30.,-115.
A48,BA2,,30.,-115.
A48,BA3,,28.96,-114.135
A48,BA3,,28.96,-114.135
A48,BA3,,28.96,-114.135
A48,BA3,,28.96,-114.135
CF A48,BA3,,28.96,-114.135
A48,BA4,,30.0623,-115.438
SpNov1,BA4,,30.0623,-115.438
SpNov1,BA4,,30.0623,-115.438
SpNov1,BA4,,30.0623,-115.438
SpNov1,BA4,,30.0623,-115.438
A39,BA5,,30.4425,-115.97045
A39,BA5,,30.4425,-115.97045
A39,BA5,,30.4425,-115.97045
A39,BA5,,30.4425,-115.97045
A39,BA5,,30.4425,-115.97045
A39,BA6,,30.12647,-115.75801
A51,BA6,,30.12647,-115.75801
SpNov3,BA6,,30.12647,-115.75801
A39,BA7,,30.04896,-115.57111
A48,BA7,,30.04896,-115.57111
SpNov2,BA7,,30.04896,-115.57111
SpNov3,BA7,,30.04896,-115.57111
SpNov3,BA7,,30.04896,-115.57111
A48,BA8,,28.78128,-114.11063
A48,BA8,,28.78128,-114.11063
A48,BA8,,28.78128,-114.11063
A48,BA8,,28.78128,-114.11063
A48,BA8,,28.78128,-114.11063
A48,BA9,,27.89758,-113.67582
A48,BA9,,27.89758,-113.67582
A48,BA9,,27.89758,-113.67582
A48,BA9,,27.89758,-113.67582
A48,BA9,,27.89758,-113.67582
CF A48,BA9,,27.89758,-113.67582
A40,BR1,,34.7341,-120.2803
A51,BR1,,34.7341,-120.2803
